# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.601320000e+00 9.57042e-01 9.75528e-01 9.81069e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99985e-01 1.00000e+00 1.00000e+00
1.601330000e+00 9.44445e-01 9.59243e-01 9.84589e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01 1.00000e+00 1.00000e+00
1.601340000e+00 9.16622e-01 9.28742e-01 9.86971e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99986e-01 1.00000e+00 1.00000e+00
1.601350000e+00 8.84141e-01 8.94350e-01 9.88604e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99984e-01 1.00000e+00 1.00000e+00
1.601360000e+00 8.99554e-01 9.08912e-01 9.89713e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01 1.00000e+00 1.00000e+00
1.601370000e+00 9.37113e-01 9.46210e-01 9.90407e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99977e-01 1.00000e+00 1.00000e+00
1.601380000e+00 9.59790e-01 9.68873e-01 9.90647e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99978e-01 1.00000e+00 1.00000e+00
1.601390000e+00 9.70436e-01 9.80525e-01 9.89732e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99980e-01 1.00000e+00 1.00000e+00
1.601400000e+00 9.77589e-01 9.86793e-01 9.90699e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99973e-01 1.00000e+00 1.00000e+00
1.601410000e+00 9.81624e-01 9.90402e-01 9.91155e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99982e-01 1.00000e+00 1.00000e+00
1.601420000e+00 9.83670e-01 9.92571e-01 9.91039e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99994e-01 1.00000e+00 1.00000e+00
1.601430000e+00 9.84493e-01 9.93843e-01 9.90595e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
